workerid,trial_number_block,rating,gender,age,sentence,definition,political,condition,homelang,income,education,ethnicity,aim,traitb,traitType,trait,genderF
anon10,10,8,male,25-34,Courageous,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,TRUE,Masculine,Courageous,male
anon10,11,5,male,25-34,Helpful to others,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,FALSE,Feminine,Helpful to others,male
anon10,12,3,male,25-34,Sympathetic,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,FALSE,Feminine,Sympathetic,male
anon10,13,4,male,25-34,Understanding of others,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,FALSE,Feminine,Understanding of others,male
anon10,14,8,male,25-34,Adventurous,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,TRUE,Masculine,Adventurous,male
anon10,15,8,male,25-34,Ambitious,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,TRUE,Masculine,Ambitious,male
anon10,16,6,male,25-34,Decisive,Being able to produce original ideas,5,Divergent,English,25000-34999,collegeGraduate,Caucasian,Perception of creativity,TRUE,Masculine,Decisive,male
anon11,1,7,female,45-64,Sensitive,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,FALSE,Feminine,Sensitive,female
anon11,2,9,female,45-64,Willing to take risks,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,TRUE,Masculine,Willing to take risks,female
anon11,3,9,female,45-64,Adventurous,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,TRUE,Masculine,Adventurous,female
anon11,4,6,female,45-64,Supportive,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,FALSE,Feminine,Supportive,female
anon11,5,3,female,45-64,Understanding of others,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,FALSE,Feminine,Understanding of others,female
anon11,6,6,female,45-64,Sympathetic,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,FALSE,Feminine,Sympathetic,female
anon11,7,1,female,45-64,Competitive,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,TRUE,Masculine,Competitive,female
anon11,8,3,female,45-64,Warm in relationships with others,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,FALSE,Feminine,Warm in relationships with others,female
anon11,9,1,female,45-64,Cooperative,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,FALSE,Feminine,Cooperative,female
anon11,10,9,female,45-64,Self-reliant,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,TRUE,Masculine,Self-reliant,female
anon11,11,8,female,45-64,Decisive,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,TRUE,Masculine,Decisive,female
anon11,12,9,female,45-64,Courageous,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,TRUE,Masculine,Courageous,female
anon11,13,5,female,45-64,Helpful to others,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,FALSE,Feminine,Helpful to others,female
anon11,14,9,female,45-64,Ambitious,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,TRUE,Masculine,Ambitious,female
anon11,15,3,female,45-64,Nurturing,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,FALSE,Feminine,Nurturing,female
anon11,16,9,female,45-64,Daring,Thinking outside of the box. Coming up with your own unique ideas/,2,Divergent,English,50000-74999,someCollege,Caucasian,How creative and unique you can be.,TRUE,Masculine,Daring,female
anon12,1,1,male,18-24,Warm in relationships with others,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,FALSE,Feminine,Warm in relationships with others,male
anon12,2,5,male,18-24,Nurturing,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,FALSE,Feminine,Nurturing,male
anon12,3,5,male,18-24,Understanding of others,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,FALSE,Feminine,Understanding of others,male
anon12,4,6,male,18-24,Supportive,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,FALSE,Feminine,Supportive,male
anon12,5,7,male,18-24,Daring,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,TRUE,Masculine,Daring,male
anon12,6,5,male,18-24,Helpful to others,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,FALSE,Feminine,Helpful to others,male
anon12,7,5,male,18-24,Willing to take risks,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,TRUE,Masculine,Willing to take risks,male
anon12,8,6,male,18-24,Cooperative,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,FALSE,Feminine,Cooperative,male
anon12,9,4,male,18-24,Sympathetic,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,FALSE,Feminine,Sympathetic,male
anon12,10,3,male,18-24,Decisive,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,TRUE,Masculine,Decisive,male
anon12,11,8,male,18-24,Adventurous,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,TRUE,Masculine,Adventurous,male
anon12,12,4,male,18-24,Sensitive,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,FALSE,Feminine,Sensitive,male
anon12,13,4,male,18-24,Courageous,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,TRUE,Masculine,Courageous,male
anon12,14,7,male,18-24,Ambitious,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,TRUE,Masculine,Ambitious,male
anon12,15,8,male,18-24,Self-reliant,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,TRUE,Masculine,Self-reliant,male
anon12,16,2,male,18-24,Competitive,being able to come up with something new and unthought of,6,Divergent,English,15000-24999,someCollege,Caucasian,People's opinions,TRUE,Masculine,Competitive,male
anon13,1,7,female,18-24,Decisive,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,TRUE,Masculine,Decisive,female
anon13,2,7,female,18-24,Sympathetic,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,FALSE,Feminine,Sympathetic,female
anon13,3,8,female,18-24,Cooperative,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,FALSE,Feminine,Cooperative,female
anon13,4,7,female,18-24,Helpful to others,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,FALSE,Feminine,Helpful to others,female
anon13,5,7,female,18-24,Competitive,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,TRUE,Masculine,Competitive,female
anon13,6,7,female,18-24,Willing to take risks,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,TRUE,Masculine,Willing to take risks,female
anon13,7,8,female,18-24,Self-reliant,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,TRUE,Masculine,Self-reliant,female
anon13,8,7,female,18-24,Warm in relationships with others,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,FALSE,Feminine,Warm in relationships with others,female
anon13,9,7,female,18-24,Ambitious,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,TRUE,Masculine,Ambitious,female
anon13,10,8,female,18-24,Sensitive,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,FALSE,Feminine,Sensitive,female
anon13,11,7,female,18-24,Nurturing,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,FALSE,Feminine,Nurturing,female
anon13,12,4,female,18-24,Daring,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,TRUE,Masculine,Daring,female
anon13,13,7,female,18-24,Understanding of others,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,FALSE,Feminine,Understanding of others,female
anon13,14,6,female,18-24,Supportive,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,FALSE,Feminine,Supportive,female
anon13,15,7,female,18-24,Adventurous,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,TRUE,Masculine,Adventurous,female
anon13,16,6,female,18-24,Courageous,"the use of the imagination or original ideas, especially in the production of an artistic work.",4,Convergent,english,75000-99999,collegeGraduate,Caucasian,feel good to know about creativity,TRUE,Masculine,Courageous,female
anon14,1,5,female,25-34,Decisive,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,TRUE,Masculine,Decisive,female
anon14,2,6,female,25-34,Competitive,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,TRUE,Masculine,Competitive,female
anon14,3,8,female,25-34,Self-reliant,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,TRUE,Masculine,Self-reliant,female
anon14,4,5,female,25-34,Supportive,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,FALSE,Feminine,Supportive,female
anon14,5,7,female,25-34,Courageous,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,TRUE,Masculine,Courageous,female
anon14,6,4,female,25-34,Nurturing,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,FALSE,Feminine,Nurturing,female
anon14,7,8,female,25-34,Ambitious,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,TRUE,Masculine,Ambitious,female
anon14,8,9,female,25-34,Willing to take risks,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,TRUE,Masculine,Willing to take risks,female
anon14,9,4,female,25-34,Understanding of others,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,FALSE,Feminine,Understanding of others,female
anon14,10,9,female,25-34,Daring,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,TRUE,Masculine,Daring,female
anon14,11,3,female,25-34,Sensitive,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,FALSE,Feminine,Sensitive,female
anon14,12,3,female,25-34,Helpful to others,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,FALSE,Feminine,Helpful to others,female
anon14,13,3,female,25-34,Cooperative,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,FALSE,Feminine,Cooperative,female
anon14,14,3,female,25-34,Warm in relationships with others,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,FALSE,Feminine,Warm in relationships with others,female
anon14,15,3,female,25-34,Sympathetic,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,FALSE,Feminine,Sympathetic,female
anon14,16,8,female,25-34,Adventurous,Creating something unique that hasnt been done before,1,Divergent,English,50000-74999,Grad,Black,I am not quite sure,TRUE,Masculine,Adventurous,female
anon15,1,7,male,18-24,Courageous,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,TRUE,Masculine,Courageous,male
anon15,2,5,male,18-24,Decisive,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,TRUE,Masculine,Decisive,male
anon15,3,9,male,18-24,Self-reliant,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,TRUE,Masculine,Self-reliant,male
anon15,4,3,male,18-24,Sensitive,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,FALSE,Feminine,Sensitive,male
anon15,5,7,male,18-24,Understanding of others,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,FALSE,Feminine,Understanding of others,male
anon15,6,3,male,18-24,Warm in relationships with others,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,FALSE,Feminine,Warm in relationships with others,male
anon15,7,8,male,18-24,Competitive,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,TRUE,Masculine,Competitive,male
anon15,8,3,male,18-24,Helpful to others,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,FALSE,Feminine,Helpful to others,male
anon15,9,6,male,18-24,Adventurous,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,TRUE,Masculine,Adventurous,male
anon15,10,1,male,18-24,Cooperative,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,FALSE,Feminine,Cooperative,male
anon15,11,1,male,18-24,Nurturing,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,FALSE,Feminine,Nurturing,male
anon15,12,1,male,18-24,Supportive,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,FALSE,Feminine,Supportive,male
anon15,13,9,male,18-24,Ambitious,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,TRUE,Masculine,Ambitious,male
anon15,14,9,male,18-24,Willing to take risks,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,TRUE,Masculine,Willing to take risks,male
anon15,15,3,male,18-24,Sympathetic,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,FALSE,Feminine,Sympathetic,male
anon15,16,9,male,18-24,Daring,The ability to think of original ideas ,4,Divergent,English,150000-199999,collegeGraduate,Caucasian,Determining what people think are the most important traits in a creative individual,TRUE,Masculine,Daring,male
anon16,1,1,male,25-34,Willing to take risks,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,TRUE,Masculine,Willing to take risks,male
anon16,2,8,male,25-34,Sensitive,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,FALSE,Feminine,Sensitive,male
anon16,3,5,male,25-34,Supportive,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,FALSE,Feminine,Supportive,male
anon16,4,3,male,25-34,Daring,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,TRUE,Masculine,Daring,male
anon16,5,2,male,25-34,Decisive,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,TRUE,Masculine,Decisive,male
anon16,6,7,male,25-34,Nurturing,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,FALSE,Feminine,Nurturing,male
anon16,7,7,male,25-34,Cooperative,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,FALSE,Feminine,Cooperative,male
anon16,8,8,male,25-34,Sympathetic,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,FALSE,Feminine,Sympathetic,male
anon16,9,3,male,25-34,Competitive,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,TRUE,Masculine,Competitive,male
anon16,10,5,male,25-34,Ambitious,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,TRUE,Masculine,Ambitious,male
anon16,11,5,male,25-34,Courageous,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,TRUE,Masculine,Courageous,male
anon16,12,9,male,25-34,Understanding of others,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,FALSE,Feminine,Understanding of others,male
anon16,13,2,male,25-34,Warm in relationships with others,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,FALSE,Feminine,Warm in relationships with others,male
anon16,14,2,male,25-34,Helpful to others,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,FALSE,Feminine,Helpful to others,male
anon16,15,6,male,25-34,Adventurous,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,TRUE,Masculine,Adventurous,male
anon16,16,7,male,25-34,Self-reliant,Looking at things in your own unique way.,5,Convergent,English,25000-34999,collegeGraduate,Hispanic,What type of person do people consider creative.,TRUE,Masculine,Self-reliant,male
anon17,1,8,male,18-24,Decisive,The ability to connect the dots in a unique way.,4,Convergent,English,LessThan15000,someCollege,Hispanic,What traits people find to be in someone or something creative.,TRUE,Masculine,Decisive,male
anon17,2,9,male,18-24,Willing to take risks,The ability to connect the dots in a unique way.,4,Convergent,English,LessThan15000,someCollege,Hispanic,What traits people find to be in someone or something creative.,TRUE,Masculine,Willing to take risks,male
anon17,3,7,male,18-24,Warm in relationships with others,The ability to connect the dots in a unique way.,4,Convergent,English,LessThan15000,someCollege,Hispanic,What traits people find to be in someone or something creative.,FALSE,Feminine,Warm in relationships with others,male
anon17,4,9,male,18-24,Helpful to others,The ability to connect the dots in a unique way.,4,Convergent,English,LessThan15000,someCollege,Hispanic,What traits people find to be in someone or something creative.,FALSE,Feminine,Helpful to others,male
anon17,5,9,male,18-24,Daring,The ability to connect the dots in a unique way.,4,Convergent,English,LessThan15000,someCollege,Hispanic,What traits people find to be in someone or something creative.,TRUE,Masculine,Daring,male
anon17,6,9,male,18-24,Competitive,The ability to connect the dots in a unique way.,4,Convergent,English,LessThan15000,someCollege,Hispanic,What traits people find to be in someone or something creative.,TRUE,Masculine,Competitive,male
anon17,7,9,male,18-24,Adventurous,The ability to connect the dots in a unique way.,4,Convergent,English,LessThan15000,someCollege,Hispanic,What traits people find to be in someone or something creative.,TRUE,Masculine,Adventurous,male
