workerid,condition,year,sex,environmentalist,race,grandparent,children,leg_essay,beh_int_index,env_att_index,leg_mot_index
anon133,control,42,female,yes,white,yes,yes,,3.66666666666667,5,3.33333333333333
anon134,control,27,male,no,white,no,no,,3.33333333333333,3.75,4.33333333333333
anon135,leg_prime,64,male,yes,white,no,no,"For the past 35 years, I have built, remodeled, repaired and worked on residential and commercial properties. I have studied carpentry, plumbing, electricity, masonry, siding, roofing etc. Every where I go, I end up fixing some thing for some one.
For the past 30 years, I have been the care taker of a rental farm house that sits on 46 acres. I have repaired and maintained it, and have landscape the yard. I have planted trees, bushes and flowers including food bearing plants.
I want to be remembered as a person who took care of and fixed things for people. Some one who was always forward looking.",4,5.75,5.33333333333333
anon136,control,32,male,no,white,no,no,,2.83333333333333,4.75,4.66666666666667
anon137,control,25,female,no,white,no,no,,3.5,5,1
anon138,leg_prime,40,female,yes,white,no,NA,I would love to be remembered for a person that held onto their beliefs and no matter what problem came around was able to solve it without over reacting. I want people to say that I was always able to look at the big picture and able to reason very well. I want people to say how they want to be able to not blow things out of proportion like I would not and how much better they are able to cope in life not getting all out of control.  I want people to be able to say they learned humility from me. I want people to say they learned patience and learned how to get rid of self love and were able to be a better person due to thinking about things I have said. Also people can see my life is calm and I never let things bother me. I would want people to  learn how to do that. ,2.83333333333333,4.25,3
anon139,leg_prime,49,male,yes,African_American,no,no,"To be remembered as a guy who wasn't afraid to NOT follow the crowd, a non-conformist who thought it was more important to not get sucked in to the so-called norms of society, who instead chose to focus on what he really wanted to do in life. To be remembered as a guy who hated labels, who hated when people tried to make assumptions about him without even finding out what he was all about. To be remembered as a guy who wanted to be versatile, had the desire to keep learning and was willing to discuss a variety of subjects, who didn't have a racist bone in his body.",2.83333333333333,4.5,4
anon14,leg_prime,28,male,no,white,no,no,I want to be remembered as someone who worked hard to provide for his family. I want to be rememberd as someone who was kind and made his friends laugh.,2.33333333333333,4.75,2.33333333333333
anon140,leg_prime,51,female,no,white,yes,yes,My goal for my life is to know that I have made a difference by being here.  I want to be an example of Christianity by being the hands and feet of Jesus on the earth.   I  want to be remembered as a person who put her family first.  I want to be remembered as a friend who is always there for others.  I hope that others will remember me as a moral and ethical person who my children could look to for an example.  I hope that I am enable to show an example that materialism should not be the goal of one's life but rather forming relationships and memories with those you love.  ,2.5,4.75,6
anon141,control,33,male,no,African_American,no,yes,,2.16666666666667,4.5,2
anon142,control,45,female,yes,Hispanic,no,yes,,3.83333333333333,5.25,4.66666666666667
anon143,leg_prime,50,female,yes,white,yes,yes,"I want to be remembered for my kindness towards others.  I want to be remembered for my ability to accept those for who they are and to be there as a compassionate part of their lives. I want people to remember my gentle nature, especially my love for animals and nature.  I would like people to remember how much I love my family and friends and how I cherish every moment I get to spend with them.  I want people to remember how hard I worked to get myself to a better place, in my life; for accepting that I needed to stand up for myself and my beliefs to be truly happy.  I want people to remember that I would always give whatever I could to help out another, even though sometimes all I have to offer is love and support, for that is what is most important.  I want others to remember that I never gave up, no matter what in life might try to bring me down.  I aim to make everyone and everything feel safe, happy and appreciated.  I want people to remember my smile and the sparkle in my eyes.  I want people to remember ME. ",4.5,6,5.66666666666667
anon144,control,20,female,yes,African_American,no,no,,3.16666666666667,4.75,1.66666666666667
anon145,control,37,male,no,white,no,no,,3,4,4
anon146,control,26,male,no,white,no,no,,3.5,4.25,5.33333333333333
anon147,control,51,male,yes,Asian,no,no,,1.66666666666667,5,3.33333333333333
anon148,leg_prime,25,female,no,white,no,no,"I want to be remembered as a loving and compassionate person.  Someone who always was willing to give a helping hand to the ones that she loved.  I want to be remembered as generous and caring.  If I have kids someday I want to be remembered by them as fair and warm and that they could always turn to me when they needed help. For my husband I want to be remembered as the love of his life, someone who was always willing to sacrifice anything for his happiness. I want to be remembered for my sunny and positive personality even in the face of negative situations.",2,4,3
anon149,leg_prime,29,male,no,white,no,no,"I'd really like to be remembered for my kindness, and my generosity.  I do have skills that I think people will remember me for, but ultimately when people talk about me, I'd like them to think ""Wow...that was a really nice guy.""  I go out of my way to give to people, and help others where I can...I think that above all else is something EVERYONE should strive to be remembered for.  The other most important thing for me honestly would be my humor.  I'd want people to remember that I was a bit of a goofball that you could tell just about anything to and not be judged.  I think it's important to be remembered for personality over achievements because down the line, someone will always bypass whatever achievements you make.  Your personality will always be remembered and discussed by those who care about you.",2.16666666666667,4.25,3.33333333333333
anon15,control,35,male,no,Asian,no,no,,2.33333333333333,4.75,5.33333333333333
anon150,control,40,male,no,white,no,yes,,2.66666666666667,3.75,3
anon151,control,27,female,no,white,no,no,,2.5,5.25,5.33333333333333
anon152,leg_prime,36,male,no,white,no,yes,      I would only like to be remembered as  loving farther and devoted husband. One who was always there in good times and bad for his family.  A man who cared not for himself but those around him. An honest man who loved and cared for his children and wife with  unconditional love.  Someone who always took the time to lend a helping hand to those in need. A person who always tried to see the good in someone and give people a chance even to those undeserving few. Not as a man that would die for his wife and children but as man who would destroy the heavens and burn the world for them. ,2.83333333333333,4.75,2
anon153,leg_prime,25,male,no,white,no,no,"I want to be remembered for my passion. I may not be the best at something, or create the worlds newest, best thing, but I will try. I will give it my all. I want to keep trying nad driving myself to create. I do not want to become stagnant. I dont know how or what, but I want to just keep DOING. Actually getting up and doing something is one of the hardest things to do. I want to show the future generations that even though you fail, you will learn and know what it takes to succeed. Some do this sooner than others and that's okay. Too many people are lazy, or complacent. This goes with life, family, work, etc. I want to bring a better, newer set of values instead of the laziness the society brings upon us with mobile devices and networking. Go out and do something. Make something. Create yourself because you're the master of your environment.",1.83333333333333,4.25,4
anon154,leg_prime,24,male,no,Hispanic,no,no,I would like to be remembered for my good will and my positive actions around the community. I want my kids to know I was a good person and their kids to wish they would have met me. I want people to understand that I do things for the good of everyone else and not for myself. I think that many people already understand this but I believe that the longer I live my life the more these truths will be evident. ,2.83333333333333,3.75,3.33333333333333
anon155,leg_prime,45,male,yes,white,no,no,I would like to be remembered for helping people. It is in our fundamental nature to be helpful and it is our mission on the planet to be helpful to others. Being compassionate and doing whatever we can to help others should be our main goal in life. We all suffer and it is through this suffering that we find compassion and develop an understanding that leads to real purpose and satisfaction in life. Being compassionate and helpful to others is what we are here to do and it is what I would like people to see that this is what I have tried to do in my life. Making sacrifices for others is how the universe moves itself forward and helping others is part of that process.,3,5,3
anon156,control,43,female,yes,white,no,yes,,4.33333333333333,6,4.66666666666667
anon157,leg_prime,69,female,no,white,yes,yes,"I think I would like to be remembered for my service to my country.And the fact that I was a woman who stood up for herself and other women when I refused, in the seventies, to be talked down to and treated disrespectfully simply because I am a woman. I would like to be remembered as a good Mother and a loving grandmother. Maybe my daughters will remember that I taught them family recipes and traditions that have been handed down in my family for generations. I want to be remembered for the good times, not the times we were sick or for anything negative. ",1.83333333333333,5,5
anon158,leg_prime,50,female,no,Asian,no,yes,"Be responsible. Be kind. These are some of the traits I would like to be remembered for.  For work, in personal relationship, or in other situations.",2.83333333333333,3.75,3.33333333333333
anon159,control,22,female,yes,white,no,no,,3.5,5.5,4.33333333333333
anon16,leg_prime,48,male,no,white,no,no,I wouldn't mind being remembered for being fun and being good with kids.  I suppose playing with kids would be higher on my list and being able to talk with them and make them feel engaged in the conversation.  Everyone should be remembered for being fun.  ,1,4.25,2.66666666666667
anon160,control,19,male,no,Asian,no,no,,2.5,5,4.33333333333333
anon161,leg_prime,39,female,no,white,no,yes,"I WANT TO BE REMEBERED FOR MY GIVING NATURE, MY LOVE FOR MY FAMILY, MY HUMOR, MY ABILITY TO OVERCOME ADVERSITY AND MY LOYALITY.  I WANT TO INSTILL THESE ATTRIBUTES IN MY CHILDREN BY SHOWING THEM UNCONDITIONAL LOVE. I WILL TEACH THEM FAITH IN HUMANITY AND IN GOD.  THERE WILL ALWAYS BE LAUGHTER THROUGH TEARS IN OUR HOME.  I WANT TO SHOW STRENGTH SO THAT THEY CAN GROW STRONG AND PASS THIS ALONG TO THEIR CHILDREN.  I WANT PEOPLE TO REMEMBER THAT I WAS A GOOD PERSON EVEN THOUGH I AM FLAWED.  I TRY TO SEND POSITIVE ENERGY INTO THE UNIVERSE SO THAT IT CAN BE SHARED.",3.33333333333333,5,5
anon162,leg_prime,28,male,no,white,no,no,I want to be remembered for my honesty. I would like the future generations to think about my characteristics and rank honesty on the top. I want to have a huge impact on peoples lives with my honesty.,3.5,4.25,3.66666666666667
anon163,leg_prime,30,female,no,African_American,no,no,I would like to be remembered for being a good mom. I don't care about being famous to the world but I want to be known by future generations of my family for paving a way for them to have a good easy life. I want to teach my daughter important life lessons that many kids are lacking these days so when she credits her success it will be for the way she was taught.,3.83333333333333,5.25,5.33333333333333
anon164,leg_prime,64,female,no,white,yes,yes,"I'd like my wittiness to be remembered. I've always been a punster, something I ""inherited"" from my father, who was a master at it. We'd have duels from time to time, and it was hysterical how outlandish we'd get. I've always been able to make something funny or create a funny poem or come up with a funny joke or riddle or funny lyrics to a favorite song. My children and then my grandchildren have laughed a lot at my creations. This has been an important part of who I am and what I do consistently in my family. I'm funny. And that's what I'd like to leave for posterity. ",4.16666666666667,5.5,5.66666666666667
anon165,leg_prime,28,male,no,white,no,no,"I want to be remembered as a kind and helpful person. I want to be thought of as a person that made life easier and more enjoyable for those around me. Because of me, I want other people to be able to do things and have options in their life that I did not have. I want people to look back at me and my actions and feel grateful towards me. I also want people to want to strive to be like me to. I feel that the more kind and helpful people that there are in the world, the better.",2.66666666666667,4.75,4.33333333333333
anon166,leg_prime,53,male,no,white,no,yes,"I want to be remembered as someone who gave of himself to reach others with the gospel. If there is a Heaven and a Hell, like the Bible says there is, then what could be more important. We save all of our lives for a few years of ""retirement"" and then die. If retirement is our goal and we actually live long enough to retire then we have a few years to relax and play but in the back of our minds we know that it is going to end all too soon. Then, even if we don't believe in an afterlife, we are facing the darkness of no longer being. As health problems arise as we age they are a reminder of our soon impending death. But if we accept Jesus as our Savior we know that death is just like falling asleep. We then get to spend eternity with those we love and our Creator who will have new and wonderful things for us to enjoy world without end. That is the message I want to be remembered for.",2.83333333333333,4.75,5.33333333333333
anon167,leg_prime,24,male,no,Asian,no,no,I want to be remembered as someone who is hardworking and eager to learn. I feel like these are very important traits because innovations come from people with these traits. I feel like I am able to help the world to be a better place and I will be working my way to achieve this goal. Hopefully one day people can recognize this.,3.5,5.5,5
anon168,control,34,male,no,white,no,no,,1.5,4,2
anon169,control,35,female,no,Asian,no,no,,2.16666666666667,5,3.33333333333333
anon17,control,26,female,yes,white,no,no,,2.83333333333333,5.25,4.33333333333333
anon170,leg_prime,45,male,yes,white,no,yes,"I was a drug and alcohol addict for many years My abuse got to the point where it destroyed my life in just about every category. I knew I need help, so I got the help I needed to kick the habits. As I have been sober for a few years now, I changed my life to the better. I've learned many new coping skills to handle life's problems without drugs or alcohol. I have been helping others who struggle with drugs and alcohol to help change their lives
There is still hope today for people who were in my shoes with abuse problems. I want to be remembered by how I changed my life and how other people can change their lives as well if they will just reach out for help. I want to be remembered for living sober.",4.33333333333333,5.5,5.66666666666667
anon171,control,27,male,yes,white,no,yes,,4.16666666666667,4.5,5.33333333333333
anon172,leg_prime,58,male,yes,white,no,no,"I would like to be remembered as a good person who had integrity and a sense of justice as well as a very creative person. To be remembered as a person who accepted everyone as they are and led others to do the same.
And as a person who saw the world/universe and found joy in it every day despite overwhelming obstacles. A survivor and a thriving. But, mostly, as a good person who loved people and the world and found joy. That's about it.",4.83333333333333,4,5.66666666666667
anon173,leg_prime,31,male,yes,Asian,no,no,"I would like to be remembered as someone who took pride in helping others and who saw life with a sense of humor. I feel like we're in a transition generation that has been opened since the growth of the internet. Before the internet, we were isolated from each other. We had ideas and dreams brewing but they stayed in our local communities. Now the internet allows wide reach of idea exchanges. I want to use the internet to spread a message of positive community and unity. I want to be remembered for making positive changes to how we engineer society. Even the 1% would be better off if the rest of the world was in a better place. I want to be a part of the movement that ends world hunger in our lifetime. I want to be part of the movement that ends the mind control of organized religion. I want to be part of the movement that favors freedom over fear.",3.66666666666667,4.75,5.66666666666667
anon174,leg_prime,26,male,no,white,no,no,"I want to be remembered for how thoughtful, courageous and generous I was. I always try to help my friends out, as one should treat one another how they want to be treated is how I grew up and that's still what I believe today. I would like to be remembered for being a great friend to close friends and family. Also, I have manners and am courteous, unlike many in my generation today who just want free things gave to them at the expense of others because they are too lazy to get out and get a job, etc. themselves. ",2.5,4,3.66666666666667
anon175,control,37,male,no,NA,no,no,,1.33333333333333,3.25,4.66666666666667
anon176,control,25,male,no,white,no,no,,3.5,4.25,3.66666666666667
anon177,leg_prime,42,female,no,white,no,yes,I don't think I will be remembered unless I have a few grandchildren. I hope 200 years from now there is a fragment of something amusing or funny I said. Or maybe science will become really advanced before I die and I'll just still be alive during future generations. I'll tell them about party line phones with a rotary dial and they'll laugh.,2,4,4
anon178,control,34,male,yes,white,no,yes,,3.5,5.25,5.33333333333333
anon179,leg_prime,29,male,no,white,no,no,"I would like to be remembered as someone that helped people. I try to use the knowledge I have to help other people and teach them. I think it is the most powerful thing you can do for someone. With knowledge, you can fend for yourself and focus on yourself. So, I think that I would like to be remembered as someone who was generous with his time, generous with his ear, and helpful with his advice. I would hope that people would focus on that aspect, and how I always would rather see someone apply the knowledge I impart to themselves. Watching people grow and knowing that they appreciate what I can do for them is the most fulfilling thing for me. I would rather nothing else than to be known as someone who always tried to help.",3.16666666666667,4.75,3.66666666666667
anon18,leg_prime,27,female,no,African_American,no,yes,I WANT TO BE REMEBERED FOR MY LIFE GOAL ACHIVEMENTS.  I WANT O BE REMEBERED FOR GIVING BACK AND HOW HUBLE I WAS.   I WANT TO LEAVE A LASTING LEGACY FOR MY FAMILY,2.83333333333333,4.25,5
anon180,leg_prime,50,female,no,white,no,yes,"My compassion towards animals! I volunteer, I rescue, I foster, I donate, I TNR (trap neuter release), I sign petitions, I save homeless ones.  I would like to be remembered for all the animals I have helped while on this earth. That is my passion, and I'm pretty sure people will remember me for it. I can't save them all, but I can certainly do what I can while I'm here.",4,5.25,5
anon181,leg_prime,36,male,no,white,no,yes,I would want everyone to remember me by my good intentions and caring nature. I want them to know that I was a great father to my kids and a loving husband. That i was a funny and handsome person. Basically I want them to remember all the good things about me and that my legacy would go on through generation to generation.  Also I would want them to remember what a hard worker I was and that I was able to get the job done.,1.66666666666667,3.75,3.33333333333333
anon182,control,27,male,no,white,no,no,,2,4.75,6
anon183,control,30,male,no,white,no,yes,,1.33333333333333,5,5.33333333333333
anon184,control,25,female,yes,white,no,no,,3.66666666666667,5.5,3
anon185,control,28,female,no,Asian,no,no,,3.5,5.5,5.66666666666667
anon186,control,46,male,no,white,no,yes,,3,5.75,6
anon187,leg_prime,25,male,no,Other,no,no,"I wanna be remembered for something greater than myself, I want people to remember me for my accomplishments and ambition to keep on striving even when the chips were down, for not giving up and persevering until I reach the top or some sort of success. I want to be able to inspire others to be great and be all they can be, to never give up on your dreams no matter how hard or far away they might be. I want to be proof that no matter how messed up and hard life is, there will always be a way to overcome any situations. I want to leave behind a blueprint for others to follow and become successful, and if not successful at peace with their own lives and to focus on what they do have and not what they don't have.",2.5,4.5,5
anon188,leg_prime,64,female,no,African_American,no,yes,"I would like to be remembered, as a Black woman, for accomplishing almost everything I set out to accomplish. I was born into a very poor family in the South. My father was a farmer and my mother was a house wife. They raised eight kids with me being one of the middle children. I graduated from high school and moved to California and went to college. I worked while in school and progressed to a very good job at a utility company. I was able to purchase a home, send a daughter through college, take trips to other countries and retire at a young age. Although this was quite a few years ago, times are somewhat different today when it comes to getting a well-paying job even with a college degree. Many of those that graduated from high school in that small town in the south are still struggling to get by. There are many people that still cannot understand how I accomplished what I have accomplished. Hard work and perseverance means a lot. ",3.33333333333333,5.25,4.33333333333333
anon189,control,28,male,no,white,no,no,,2.16666666666667,4.5,2
anon19,control,22,female,no,white,no,no,,3.5,5.25,5.66666666666667
anon190,leg_prime,26,male,no,white,no,yes,"I want to be remembered for being a good husband and father. There are many roles and many hats that I wear, but those are the two most important. I love my wife and I love my children. They deserve all the support I could possibly give them and I want to give them the best chance at succeeding that I can. They're good kids, and if I can direct their massive amount of energy in to learning and doing the right thing they will be very successful.",2.66666666666667,5.5,5.33333333333333
anon191,control,29,male,yes,white,no,no,,3.33333333333333,5,3
anon192,leg_prime,46,female,yes,white,no,yes,"I hope that I will be remembered as someone that was true to my family and country and someone that does all she can to improve upon the way we live and the way our children view the past. I pray that I leave an impression on my children to always remember the past and what our ancestors have gone through to get us to where we are today in this life. I pray that they will also know that I have done all I could to be fair and equal in my actions towards all people that I've dealt with in my lifetime. I hope that they think of me as kind and loving and intelligent and someone who was leading them towards being good caring loving humans who help one another out when needed. I hope that they also think of me as a good mother and friend to all who needed me. I hope they remember how hard I worked for them, my children that is, and that they honor my wishes to remain close and always help one another out. I pray that they think of me as someone who was always open to anyone no matter what race or position in life they are in. I hope they think of me as humble. ",3.66666666666667,5.5,6
anon193,control,35,male,no,white,no,no,,2.16666666666667,4.5,5
anon194,control,38,female,no,white,no,yes,,3,4,4
anon195,leg_prime,31,male,no,white,no,no,"What do I want to be remembered for? That is a very interesting question indeed. Being remembered by future generations I think is the drive for some people. For most tho everyday life gets in the way of our ambitions for being remembered on a grand scale. I would imagine usually people settle for being remembered by friends and family. I would love to be remembered by my friends and family on a high note.  Being remembered in a such a way by the people closest to you would be, in my humble opinion, a grand way to be remembered. I wish to be remembered as a funny lovable person. As that person who would light up a room when they walk into it. I would also loved to be remembered for my generosity as well as my understanding. These are core values in my life that I believe are essential for me to be happy and I would love if I was remembered in such a way. I find no value in being remembered for the physical or superficial things in life but for the relationships and connections I had with people. That would truly be a grand way to be remembered.",4.33333333333333,5.5,5
